id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20033	u,影之镰刀\0	a,	9C	E8	A9	-1
20034	u,蜘蛛拦截者\0	a,	9C	E8	A9	-1
20035	u,骷髅搜查兵\0	a,	9C	E8	A9	-1
20036	u,风精\0	a,	9C	E8	A9	-1
20037	u,玛那吸血鬼\0	a,	9C	E8	A9	-1
20038	u,巨大毒蜘蛛\0	a,	9C	E8	A9	-1
20039	u,食腐鼠人\0	a,	9C	E8	A9	-1
20040	u,斯卡鼠人\0	a,	9C	E8	A9	-1
20041	u,腐烂僵尸\0	a,	9C	E8	A9	-1
20042	u,骷髅搜查兵队长\0	a,	9C	E8	A9	-1
20043	u,缚毒蜘蛛\0	a,	9C	E8	A9	-1
20044	u,风精图伦\0	a,	9C	E8	A9	-1
20045	u,骷髅巡守\0	a,	9C	E8	A9	-1
20046	u,恶臭僵尸\0	a,	9C	E8	A9	-1
20047	u,斯卡鼠人队长\0	a,	9C	E8	A9	-1
20048	u,小魅魔\0	a,	9C	E8	A9	-1
20049	u,兽化狼人\0	a,	9C	E8	A9	-1
20050	u,剧毒掠夺者\0	a,	9C	E8	A9	-1
20051	u,骷髅射手\0	a,	9C	E8	A9	-1
20052	u,小魅魔图伦\0	a,	9C	E8	A9	-1
20053	u,豺狼巡逻兵\0	a,	9C	E8	A9	-1
20054	u,废墟史巴托\0	a,	9C	E8	A9	-1
20055	u,监视者\0	a,	9C	E8	A9	-1
20056	u,德雷巴奴破坏者\0	a,	9C	E8	A9	-1
20057	u,小魅魔堤佛\0	a,	9C	E8	A9	-1
20058	u,豺狼警卫兵\0	a,	9C	E8	A9	-1
20059	u,巡逻者\0	a,	9C	E8	A9	-1
20060	u,狂怒的史巴托\0	a,	9C	E8	A9	-1
20061	u,豺狼残兵\0	a,	9C	E8	A9	-1
20062	u,突伦食人妖\0	a,	9C	E8	A9	-1
20063	u,豺狼射手\0	a,	9C	E8	A9	-1
20064	u,突伦食人妖战士\0	a,	9C	E8	A9	-1
20065	u,豺狼巡守\0	a,	9C	E8	A9	-1
20066	u,豺狼军官\0	a,	9C	E8	A9	-1
20067	u,观察者\0	a,	9C	E8	A9	-1
20068	u,搜索者\0	a,	9C	E8	A9	-1
20069	u,西鲁蜥蜴人巡守\0	a,	9C	E8	A9	-1
20070	u,邪恶蜥蜴\0	a,	9C	E8	A9	-1
20071	u,西鲁蜥蜴人战士\0	a,	9C	E8	A9	-1
20072	u,剧毒邪恶蜥蜴\0	a,	9C	E8	A9	-1
20073	u,豺狼军团兵\0	a,	9C	E8	A9	-1
20074	u,毒蝎\0	a,	9C	E8	A9	-1
20075	u,幼蚁\0	a,	9C	E8	A9	-1
20076	u,豺狼指挥官\0	a,	9C	E8	A9	-1
20077	u,狩猎毒蝎\0	a,	9C	E8	A9	-1
20078	u,风之细语\0	a,	9C	E8	A9	-1
20079	u,工蚁\0	a,	9C	E8	A9	-1
20080	u,工蚁队长\0	a,	9C	E8	A9	-1
20081	u,工蚁监督者\0	a,	9C	E8	A9	-1
20082	u,兵蚁新兵\0	a,	9C	E8	A9	-1
20083	u,花岗石高仑\0	a,	9C	E8	A9	-1
20084	u,兵蚁斥候\0	a,	9C	E8	A9	-1
20085	u,破坏者\0	a,	9C	E8	A9	-1
20086	u,兵蚁警卫\0	a,	9C	E8	A9	-1
20087	u,兵蚁\0	a,	9C	E8	A9	-1
20088	u,兵蚁队长\0	a,	9C	E8	A9	-1
20089	u,雄蚁\0	a,	9C	E8	A9	-1
20090	u,雄蚁队长\0	a,	9C	E8	A9	-1
20091	u,幼狐狸\0	a,	9C	E8	A9	-1
20092	u,眼怪\0	a,	9C	E8	A9	-1
20093	u,兽人斗士\0	a,	9C	E8	A9	-1
20094	u,兽人射手\0	a,	9C	E8	A9	-1
20095	u,吸血蝙蝠\0	a,	9C	E8	A9	-1
20096	u,兽人斗士副队长\0	a,	9C	E8	A9	-1
20097	u,长齿蝙蝠\0	a,	9C	E8	A9	-1
20098	u,兽人斗士队长\0	a,	9C	E8	A9	-1
20099	u,骷髅\0	a,	9C	E8	A9	-1
20100	u,骷髅弓箭手\0	a,	9C	E8	A9	-1
20101	u,碎裂者\0	a,	9C	E8	A9	-1
20102	u,骷髅狙击兵\0	a,	9C	E8	A9	-1
20103	u,巨大蜘蛛\0	a,	9C	E8	A9	-1
20104	u,骷髅侦查员\0	a,	9C	E8	A9	-1
20105	u,黑暗镰刀\0	a,	9C	E8	A9	-1
20106	u,戮杀者\0	a,	9C	E8	A9	-1
20107	u,鼠人\0	a,	9C	E8	A9	-1
20108	u,撕裂者\0	a,	9C	E8	A9	-1
20109	u,火蜥蜴\0	a,	9C	E8	A9	-1
20110	u,水精\0	a,	9C	E8	A9	-1
20111	u,鼠人副队长\0	a,	9C	E8	A9	-1
20112	u,火蜥蜴利比\0	a,	9C	E8	A9	-1
20113	u,水精利比\0	a,	9C	E8	A9	-1
20114	u,火蜥蜴夷巴\0	a,	9C	E8	A9	-1
20115	u,水精夷巴\0	a,	9C	E8	A9	-1
20116	u,狐狸\0	a,	9C	E8	A9	-1
20117	u,德雷巴奴\0	a,	9C	E8	A9	-1
20118	u,德雷巴奴巡守\0	a,	9C	E8	A9	-1
20119	u,狐狸首领\0	a,	9C	E8	A9	-1
20120	u,狼\0	a,	9C	E8	A9	-1
20121	u,巨大蟾蜍\0	a,	9C	E8	A9	-1
20130	u,兽人\0	a,	9C	E8	A9	-1
20131	u,兽人士兵\0	a,	9C	E8	A9	-1
20132	u,狼人\0	a,	9C	E8	A9	-1
20133	u,食人妖\0	a,	9C	E8	A9	-1
20134	u,蛇人之后\0	a,	9C	E8	A9	-1
20135	u,巨大鳄鱼\0	a,	9C	E8	A9	-1
20136	u,死亡骑士\0	a,	9C	E8	A9	-1
20137	u,飞龙\0	a,	9C	E8	A9	-1
20138	u,翼魔\0	a,	9C	E8	A9	-1
20139	u,巨大蜜蜂\0	a,	9C	E8	A9	-1
20140	u,巨大水蛭\0	a,	9C	E8	A9	-1
20141	u,巨大野猪\0	a,	9C	E8	A9	-1
20142	u,狮鹫\0	a,	9C	E8	A9	-1
20143	u,灰熊\0	a,	9C	E8	A9	-1
20144	u,死亡之树\0	a,	9C	E8	A9	-1
20145	u,鸟妖\0	a,	9C	E8	A9	-1
20146	u,无头骑士\0	a,	9C	E8	A9	-1
20147	u,哈柏哥布林\0	a,	9C	E8	A9	-1
20148	u,饿灵\0	a,	9C	E8	A9	-1
20149	u,钢铁高仑\0	a,	9C	E8	A9	-1
20150	u,食人妖王\0	a,	9C	E8	A9	-1
20151	u,地灵\0	a,	9C	E8	A9	-1
20152	u,蜥蜴人\0	a,	9C	E8	A9	-1
20153	u,魔翼\0	a,	9C	E8	A9	-1
20154	u,曼陀罗草\0	a,	9C	E8	A9	-1
20155	u,曼陀罗草成体\0	a,	9C	E8	A9	-1
20156	u,曼陀罗草完全体\0	a,	9C	E8	A9	-1
20157	u,沼泽司塔卡拓\0	a,	9C	E8	A9	-1
20158	u,梅杜莎\0	a,	9C	E8	A9	-1
20159	u,牛人\0	a,	9C	E8	A9	-1
20160	u,尼勒钢爪\0	a,	9C	E8	A9	-1
20161	u,奥耶玛夫\0	a,	9C	E8	A9	-1
20162	u,食人魔\0	a,	9C	E8	A9	-1
20163	u,豺狼\0	a,	9C	E8	A9	-1
20164	u,豺狼弓箭手\0	a,	9C	E8	A9	-1
20165	u,豺狼拥护者\0	a,	9C	E8	A9	-1
20166	u,魅魔\0	a,	9C	E8	A9	-1
20167	u,蛇人奴隶\0	a,	9C	E8	A9	-1
20168	u,赛勒诺斯\0	a,	9C	E8	A9	-1
20169	u,骷髅警卫\0	a,	9C	E8	A9	-1
20170	u,史巴托\0	a,	9C	E8	A9	-1
20171	u,幽灵镰刀\0	a,	9C	E8	A9	-1
20172	u,风妖精\0	a,	9C	E8	A9	-1
20173	u,巨魔\0	a,	9C	E8	A9	-1
20174	u,双头巨人\0	a,	9C	E8	A9	-1
20175	u,蘑菇\0	a,	9C	E8	A9	-1
20176	u,亚龙\0	a,	9C	E8	A9	-1
20177	u,僵尸\0	a,	9C	E8	A9	-1
20189	u,水晶狮\0	a,	9C	E8	A9	-1
20190	u,骷髅神射手\0	a,	9C	E8	A9	-1
20191	u,骷髅兵\0	a,	9C	E8	A9	-1
20192	u,暴君\0	a,	9C	E8	A9	-1
20193	u,暴君之王\0	a,	9C	E8	A9	-1
20194	u,水精女王\0	a,	9C	E8	A9	-1
20197	u,幽魂\0	a,	9C	E8	A9	-1
20198	u,尼勒钢爪弗雷克\0	a,	9C	E8	A9	-1
20199	u,安柏邪恶蜥蜴\0	a,	9C	E8	A9	-1
20200	u,倦灵\0	a,	9C	E8	A9	-1
20201	u,食尸鬼\0	a,	9C	E8	A9	-1
20202	u,死亡追踪者\0	a,	9C	E8	A9	-1
20203	u,狄恩灰熊\0	a,	9C	E8	A9	-1
20204	u,血腥蜜蜂\0	a,	9C	E8	A9	-1
20205	u,恶狼\0	a,	9C	E8	A9	-1
20206	u,卡地普狼人\0	a,	9C	E8	A9	-1
20207	u,豺狼游击队\0	a,	9C	E8	A9	-1
20208	u,豺狼突击兵\0	a,	9C	E8	A9	-1
20209	u,豺狼狙击兵\0	a,	9C	E8	A9	-1
20210	u,豺狼副队长\0	a,	9C	E8	A9	-1
20211	u,豺狼队长\0	a,	9C	E8	A9	-1
20212	u,突鲁马克\0	u,豺狼王\0	9C	E8	A9	-1
20213	u,破塔\0	a,	9C	E8	A9	-1
20214	u,艾斯库洛\0	a,	9C	E8	A9	-1
20215	u,莫狄奥\0	a,	9C	E8	A9	-1
20216	u,里森席欧\0	a,	9C	E8	A9	-1
20217	u,克雷特\0	a,	9C	E8	A9	-1
20218	u,普勒摩\0	a,	9C	E8	A9	-1
20219	u,瓦里达斯\0	a,	9C	E8	A9	-1
20220	u,迪克尔\0	a,	9C	E8	A9	-1
20221	u,匹黎姆\0	a,	9C	E8	A9	-1
20222	u,特菲\0	a,	9C	E8	A9	-1
20223	u,曼陀罗草新芽\0	a,	9C	E8	A9	-1
20224	u,豺狼巡逻兵\0	a,	9C	E8	A9	-1
20225	u,米斯巨大水蛭\0	a,	9C	E8	A9	-1
20226	u,古代蚂蚁\0	a,	9C	E8	A9	-1
20227	u,薄雾撕裂者\0	a,	9C	E8	A9	-1
20228	u,赤蚂蚁\0	a,	9C	E8	A9	-1
20229	u,奇异蜜蜂\0	a,	9C	E8	A9	-1
20230	u,沼泽司塔卡拓工人\0	a,	9C	E8	A9	-1
20231	u,安皮克奥\0	a,	9C	E8	A9	-1
20232	u,沼泽司塔卡拓士兵\0	a,	9C	E8	A9	-1
20233	u,沼泽蜘蛛\0	a,	9C	E8	A9	-1
20234	u,雄性沼泽司塔卡拓\0	a,	9C	E8	A9	-1
20235	u,枷灵\0	a,	9C	E8	A9	-1
20236	u,洞穴仆人\0	a,	9C	E8	A9	-1
20237	u,洞穴仆人之弓箭手\0	a,	9C	E8	A9	-1
20238	u,洞穴仆人战士\0	a,	9C	E8	A9	-1
20239	u,洞穴仆人队长\0	a,	9C	E8	A9	-1
20240	u,贵族洞穴仆人\0	a,	9C	E8	A9	-1
20241	u,狩猎翼魔\0	a,	9C	E8	A9	-1
20242	u,尘爆\0	a,	9C	E8	A9	-1
20243	u,雷亚龙\0	a,	9C	E8	A9	-1
20244	u,玛鲁克魅魔\0	a,	9C	E8	A9	-1
20245	u,玛鲁克魅魔图伦\0	a,	9C	E8	A9	-1
20246	u,洞穴守卫\0	a,	9C	E8	A9	-1
20248	u,突伦克食人妖\0	a,	9C	E8	A9	-1
20249	u,突伦克食人妖战士\0	a,	9C	E8	A9	-1
20250	u,玻璃虎\0	a,	9C	E8	A9	-1
20251	u,德鲁蜥蜴人\0	a,	9C	E8	A9	-1
20252	u,德鲁蜥蜴人巡守\0	a,	9C	E8	A9	-1
20253	u,德鲁蜥蜴人战士\0	a,	9C	E8	A9	-1
20254	u,骷髅斧手\0	a,	9C	E8	A9	-1
20255	u,巴吐兽人\0	a,	9C	E8	A9	-1
20256	u,巴吐兽人弓箭手\0	a,	9C	E8	A9	-1
20257	u,巴吐兽人战士\0	a,	9C	E8	A9	-1
20258	u,巴吐兽人巫师\0	a,	9C	E8	A9	-1
20259	u,巴吐兽人王\0	a,	9C	E8	A9	-1
20260	u,兽人英雄\0	a,	9C	E8	A9	-1
20261	u,兽人巫师\0	a,	9C	E8	A9	-1
20265	u,眼怪搜索者\0	a,	9C	E8	A9	-1
20266	u,眼怪凝视者\0	a,	9C	E8	A9	-1
20267	u,布赖卡兽人\0	a,	9C	E8	A9	-1
20268	u,布赖卡兽人弓箭手\0	a,	9C	E8	A9	-1
20269	u,布赖卡兽人巫师\0	a,	9C	E8	A9	-1
20270	u,布赖卡兽人王\0	a,	9C	E8	A9	-1
20271	u,布赖卡兽人战士\0	a,	9C	E8	A9	-1
20272	u,洞穴仆人\0	a,	9C	E8	A9	-1
20273	u,洞穴仆人弓箭手\0	a,	9C	E8	A9	-1
20274	u,洞穴仆人武士\0	a,	9C	E8	A9	-1
20275	u,洞穴仆人队长\0	a,	9C	E8	A9	-1
20276	u,贵族洞穴仆人\0	a,	9C	E8	A9	-1
20277	u,洞穴守卫\0	a,	9C	E8	A9	-1
20279	u,枷灵\0	a,	9C	E8	A9	-1
20280	u,无头骑士\0	a,	9C	E8	A9	-1
20281	u,尘爆\0	a,	9C	E8	A9	-1
20282	u,雷亚龙\0	a,	9C	E8	A9	-1
20283	u,玛鲁克魅魔\0	a,	9C	E8	A9	-1
20284	u,玛鲁克魅魔图伦\0	a,	9C	E8	A9	-1
20285	u,飞龙\0	a,	9C	E8	A9	-1
20286	u,狩猎翼魔\0	a,	9C	E8	A9	-1
20287	u,蛇人之后\0	a,	9C	E8	A9	-1
20291	u,安库兽人英雄\0	a,	9C	E8	A9	-1
20292	u,安库兽人巫师\0	a,	9C	E8	A9	-1
20293	u,皮鲁德蜥蜴人\0	a,	9C	E8	A9	-1
20294	u,皮鲁德蜥蜴人女族长\0	a,	9C	E8	A9	-1
20295	u,皮鲁德蜥蜴人战士\0	a,	9C	E8	A9	-1
20296	u,皮鲁德蜥蜴人巡守\0	a,	9C	E8	A9	-1
20297	u,皮鲁德蜥蜴人巫师\0	a,	9C	E8	A9	-1
20298	u,皮鲁德蜥蜴人巫师\0	a,	9C	E8	A9	-1
20299	u,辛达蜥蜴人\0	a,	9C	E8	A9	-1
20300	u,辛达蜥蜴人女族长\0	a,	9C	E8	A9	-1
20301	u,辛达蜥蜴人巡守\0	a,	9C	E8	A9	-1
20302	u,辛达蜥蜴人战士\0	a,	9C	E8	A9	-1
20303	u,辛达蜥蜴人巫师\0	a,	9C	E8	A9	-1
20304	u,沼泽司塔卡拓女王\0	a,	9C	E8	A9	-1
20305	u,葛雷姆\0	a,	9C	E8	A9	-1
20307	u,噶伦狼人\0	a,	9C	E8	A9	-1
20308	u,巨勾蜘蛛\0	a,	9C	E8	A9	-1
20309	u,棕色狐狸\0	a,	9C	E8	A9	-1
20310	u,棕熊\0	a,	9C	E8	A9	-1
20311	u,钩爪安普\0	a,	9C	E8	A9	-1
20312	u,钩爪安普猎人\0	a,	9C	E8	A9	-1
20313	u,钩爪安普首领\0	a,	9C	E8	A9	-1
20314	u,大白鲨\0	a,	9C	E8	A9	-1
20316	u,黑翼蝙蝠\0	a,	9C	E8	A9	-1
20317	u,黑狼\0	a,	9C	E8	A9	-1
20318	u,黑毛野狼\0	a,	9C	E8	A9	-1
20319	u,盗墓哥布林\0	a,	9C	E8	A9	-1
20320	u,盗墓哥布林队长\0	a,	9C	E8	A9	-1
20321	u,小偷哥布林\0	a,	9C	E8	A9	-1
20322	u,山贼哥布林\0	a,	9C	E8	A9	-1
20323	u,山贼哥布林队长\0	a,	9C	E8	A9	-1
20324	u,山贼哥布林副队长\0	a,	9C	E8	A9	-1
20325	u,哥布林掠夺者\0	a,	9C	E8	A9	-1
20326	u,哥布林巡守\0	a,	9C	E8	A9	-1
20327	u,哥布林搜索员\0	a,	9C	E8	A9	-1
20328	u,哥布林监视员\0	a,	9C	E8	A9	-1
20329	u,鬼魂守护者\0	a,	9C	E8	A9	-1
20330	u,山蝙蝠\0	a,	9C	E8	A9	-1
20331	u,眼怪追捕者\0	a,	9C	E8	A9	-1
20333	u,灰石高仑\0	a,	9C	E8	A9	-1
20334	u,食腐葛林\0	a,	9C	E8	A9	-1
20335	u,大灰熊\0	a,	9C	E8	A9	-1
20336	u,绿色树精\0	a,	9C	E8	A9	-1
20337	u,长尾狐狸\0	a,	9C	E8	A9	-1
20338	u,梦靥之翼\0	a,	9C	E8	A9	-1
20340	u,奴隶骷髅\0	a,	9C	E8	A9	-1
20341	u,奴隶亡灵\0	a,	9C	E8	A9	-1
20342	u,狼人酋长\0	a,	9C	E8	A9	-1
20343	u,狩猎狼人\0	a,	9C	E8	A9	-1
20345	u,黑夜之惧\0	a,	9C	E8	A9	-1
20346	u,黑暗石高仑\0	a,	9C	E8	A9	-1
20347	u,死亡之刃\0	a,	9C	E8	A9	-1
20348	u,洞穴蜘蛛\0	a,	9C	E8	A9	-1
20349	u,洞穴蝙蝠\0	a,	9C	E8	A9	-1
20350	u,洞穴戮杀者\0	a,	9C	E8	A9	-1
20351	u,德雷巴奴追捕者\0	a,	9C	E8	A9	-1
20352	u,德雷巴奴凶手\0	a,	9C	E8	A9	-1
20353	u,德雷巴奴旁观者\0	a,	9C	E8	A9	-1
20354	u,矮人鬼魂\0	a,	9C	E8	A9	-1
20356	u,朗克蜥蜴人队长\0	a,	9C	E8	A9	-1
20357	u,朗克蜥蜴人副队长\0	a,	9C	E8	A9	-1
20358	u,狩猎鼠人\0	a,	9C	E8	A9	-1
20359	u,鼠人战士\0	a,	9C	E8	A9	-1
20360	u,鼠人间谍\0	a,	9C	E8	A9	-1
20361	u,雷沃恩特兽人射手\0	a,	9C	E8	A9	-1
20362	u,雷沃恩特兽人斗士队长\0	a,	9C	E8	A9	-1
20363	u,玛剌库狼人\0	a,	9C	E8	A9	-1
20364	u,玛剌库狼人首领\0	a,	9C	E8	A9	-1
20365	u,山蘑菇\0	a,	9C	E8	A9	-1
20367	u,梅肯尼斯护卫兵\0	a,	9C	E8	A9	-1
20368	u,守墓人\0	a,	9C	E8	A9	-1
20369	u,月石兽\0	a,	9C	E8	A9	-1
20370	u,长刺蝙蝠\0	a,	9C	E8	A9	-1
20371	u,薄雾之惧\0	a,	9C	E8	A9	-1
20372	u,巴拉克兽人斗士\0	a,	9C	E8	A9	-1
20373	u,巴拉克兽人斗士队长\0	a,	9C	E8	A9	-1
20374	u,巴兰卡警卫兵\0	a,	9C	E8	A9	-1
20375	u,巴兰卡护卫兵\0	a,	9C	E8	A9	-1
20376	u,巴里卡盗贼队长\0	a,	9C	E8	A9	-1
20377	u,巴里卡盗贼\0	a,	9C	E8	A9	-1
20378	u,巨石\0	a,	9C	E8	A9	-1
20379	u,巨石士兵\0	a,	9C	E8	A9	-1
20380	u,巨石守护者\0	a,	9C	E8	A9	-1
20381	u,巴斯兽人\0	a,	9C	E8	A9	-1
20382	u,巴斯兽人队长\0	a,	9C	E8	A9	-1
20383	u,缚灵\0	a,	9C	E8	A9	-1
20385	u,贝尔勒兽人弓箭手\0	a,	9C	E8	A9	-1
20386	u,贝尔勒兽人斗士\0	a,	9C	E8	A9	-1
20387	u,贝尔勒兽人斗士队长\0	a,	9C	E8	A9	-1
20388	u,贝尔勒兽人斗士副队长\0	a,	9C	E8	A9	-1
20389	u,布基鼠人\0	a,	9C	E8	A9	-1
20390	u,布基鼠人队长\0	a,	9C	E8	A9	-1
20391	u,红狐狸\0	a,	9C	E8	A9	-1
20392	u,红眼蝙蝠\0	a,	9C	E8	A9	-1
20393	u,食腐红蜘蛛\0	a,	9C	E8	A9	-1
20394	u,赤毛狼蜘蛛\0	a,	9C	E8	A9	-1
20398	u,里库拉卡斯\0	a,	9C	E8	A9	-1
20399	u,里库拉卡斯之子\0	a,	9C	E8	A9	-1
20400	u,血蘑菇\0	a,	9C	E8	A9	-1
20401	u,必伦食人妖\0	a,	9C	E8	A9	-1
20402	u,必伦食人妖战士\0	a,	9C	E8	A9	-1
20403	u,猎人狼蛛\0	a,	9C	E8	A9	-1
20404	u,沉静之惧\0	a,	9C	E8	A9	-1
20405	u,幼棕狐狸\0	a,	9C	E8	A9	-1
20406	u,幼红狐狸\0	a,	9C	E8	A9	-1
20407	u,幼赤狐狸\0	a,	9C	E8	A9	-1
20410	u,食腐蜘蛛\0	a,	9C	E8	A9	-1
20411	u,食腐蝙蝠\0	a,	9C	E8	A9	-1
20412	u,基座\0	a,	9C	E8	A9	-1
20415	u,腥红火蜥蜴\0	a,	9C	E8	A9	-1
20416	u,腥红火蜥蜴利比\0	a,	9C	E8	A9	-1
20418	u,象牙兽\0	a,	9C	E8	A9	-1
20419	u,阿卡斯特魅魔\0	a,	9C	E8	A9	-1
20420	u,阿卡斯特魅魔图伦\0	a,	9C	E8	A9	-1
20421	u,阿卡斯特魅魔堤佛\0	a,	9C	E8	A9	-1
20422	u,阿卡斯特白骨将军\0	a,	9C	E8	A9	-1
20423	u,阿卡斯特白骨弓箭手\0	a,	9C	E8	A9	-1
20424	u,阿卡斯特白骨之王\0	a,	9C	E8	A9	-1
20425	u,阿卡斯特白骨士兵\0	a,	9C	E8	A9	-1
20426	u,恶魔之眼\0	a,	9C	E8	A9	-1
20427	u,恶魔之眼监视者\0	a,	9C	E8	A9	-1
20428	u,恶魔之眼巡查者\0	a,	9C	E8	A9	-1
20429	u,恶魔之眼监视哨\0	a,	9C	E8	A9	-1
20431	u,精灵鬼魂\0	a,	9C	E8	A9	-1
20432	u,独角兔\0	a,	9C	E8	A9	-1
20433	u,疫病蝙蝠\0	a,	9C	E8	A9	-1
20435	u,猫眼兽\0	a,	9C	E8	A9	-1
20436	u,豺狼补充兵\0	a,	9C	E8	A9	-1
20437	u,豺狼新兵\0	a,	9C	E8	A9	-1
20438	u,豺狼将军\0	a,	9C	E8	A9	-1
20439	u,豺狼士官\0	a,	9C	E8	A9	-1
20440	u,棕狐狸首领\0	a,	9C	E8	A9	-1
20441	u,长尾狐狸首领\0	a,	9C	E8	A9	-1
20442	u,狼首领\0	a,	9C	E8	A9	-1
20443	u,红狐狸首领\0	a,	9C	E8	A9	-1
20444	u,赤狐狸首领\0	a,	9C	E8	A9	-1
20445	u,乌山卡海盗\0	a,	9C	E8	A9	-1
20446	u,乌土库兽人\0	a,	9C	E8	A9	-1
20447	u,乌土库兽人弓箭手\0	a,	9C	E8	A9	-1
20448	u,乌土库兽人士兵\0	a,	9C	E8	A9	-1
20449	u,磷火\0	a,	9C	E8	A9	-1
20450	u,遗迹狼人\0	a,	9C	E8	A9	-1
20451	u,遗迹史巴托\0	a,	9C	E8	A9	-1
20453	u,人类鬼魂\0	a,	9C	E8	A9	-1
20454	u,被遗忘的监视者\0	a,	9C	E8	A9	-1
20455	u,末日士兵\0	a,	9C	E8	A9	-1
20456	u,灰狼\0	a,	9C	E8	A9	-1
20457	u,人形僵尸士兵\0	a,	9C	E8	A9	-1
20458	u,人形僵尸斗士\0	a,	9C	E8	A9	-1
20460	u,赤蜘蛛\0	a,	9C	E8	A9	-1
20461	u,地城蜘蛛\0	a,	9C	E8	A9	-1
20462	u,地城戮杀者\0	a,	9C	E8	A9	-1
20463	u,地城骷髅弓箭手\0	a,	9C	E8	A9	-1
20464	u,地城骷髅士兵\0	a,	9C	E8	A9	-1
20465	u,赤狐狸\0	a,	9C	E8	A9	-1
20466	u,长爪蜘蛛\0	a,	9C	E8	A9	-1
20468	u,卡布兽人\0	a,	9C	E8	A9	-1
20469	u,卡布兽人弓箭手\0	a,	9C	E8	A9	-1
20470	u,卡布兽人士兵\0	a,	9C	E8	A9	-1
20471	u,卡布兽人斗士\0	a,	9C	E8	A9	-1
20472	u,卡布兽人斗士队长\0	a,	9C	E8	A9	-1
20473	u,卡布兽人斗士副队长\0	a,	9C	E8	A9	-1
20474	u,卡沙蜘蛛\0	a,	9C	E8	A9	-1
20475	u,卡沙狼\0	a,	9C	E8	A9	-1
20476	u,卡沙长齿蜘蛛\0	a,	9C	E8	A9	-1
20477	u,卡沙灰狼\0	a,	9C	E8	A9	-1
20478	u,卡沙刀刃蜘蛛\0	a,	9C	E8	A9	-1
20479	u,卡沙熊\0	a,	9C	E8	A9	-1
20480	u,刀刃蝙蝠\0	a,	9C	E8	A9	-1
20481	u,狐狗\0	a,	9C	E8	A9	-1
20483	u,鬼火\0	a,	9C	E8	A9	-1
20487	u,库勒卡鼠人\0	a,	9C	E8	A9	-1
20488	u,库勒卡狩猎鼠人\0	a,	9C	E8	A9	-1
20489	u,闪银兽\0	a,	9C	E8	A9	-1
20490	u,赤色人偶\0	a,	9C	E8	A9	-1
20491	u,地穴之惧\0	a,	9C	E8	A9	-1
20492	u,克鲁纳克护卫兵\0	a,	9C	E8	A9	-1
20494	u,土瑞克军犬\0	a,	9C	E8	A9	-1
20495	u,土瑞克兽人将军\0	a,	9C	E8	A9	-1
20496	u,土瑞克兽人弓箭手\0	a,	9C	E8	A9	-1
20497	u,土瑞克兽人突袭兵\0	a,	9C	E8	A9	-1
20498	u,土瑞克兽人补充兵\0	a,	9C	E8	A9	-1
20499	u,土瑞克兽人步兵\0	a,	9C	E8	A9	-1
20500	u,土瑞克兽人哨兵\0	a,	9C	E8	A9	-1
20501	u,土瑞克兽人巫师\0	a,	9C	E8	A9	-1
20502	u,特纹克水晶狮\0	a,	9C	E8	A9	-1
20504	u,恐惧士兵\0	a,	9C	E8	A9	-1
20505	u,废墟蝙蝠\0	a,	9C	E8	A9	-1
20506	u,废墟安普\0	a,	9C	E8	A9	-1
